,Unnamed: 0,sent1,sent2,similarity,pool_DSBERT,pool_CBERT,cls_DSBERT,cls_CBERT,predicted_MINILM
0,0,There is no boy playing outdoors and there is no man smiling,A group of kids is playing in a yard and an old man is standing in the background,0.575,0.9292121,0.9281614,0.9373337,0.89350736,"(0.74543554, 0.32638687)"
1,1,A group of boys in a yard is playing and a man is standing in the background,The young boys are playing outdoors and the man is smiling nearby,0.675,0.9362918,0.93120074,0.9469092,0.884004,"(0.81277514, 0.60439736)"
2,2,A group of children is playing in the house and there is no man standing in the background,The young boys are playing outdoors and the man is smiling nearby,0.5,0.9299816,0.928264,0.94375896,0.9057021,"(0.71983784, 0.2253593)"
3,3,A brown dog is attacking another animal in front of the tall man in pants,A brown dog is attacking another animal in front of the man in pants,0.975,0.9952185,0.9927792,0.99678236,0.99463344,"(0.99360865, 0.97355884)"
4,4,A brown dog is attacking another animal in front of the man in pants,A brown dog is helping another animal in front of the man in pants,0.66625,0.98843884,0.98771137,0.9856984,0.9852668,"(0.95466566, 0.81116676)"
5,5,Two dogs are wrestling and hugging,There is no dog wrestling and hugging,0.575,0.95359004,0.93432206,0.9665979,0.9437104,"(0.93854576, 0.7440418)"
6,6,A brown dog is attacking another animal in front of the man in pants,There is no dog wrestling and hugging,0.425,0.9201123,0.9041163,0.9342468,0.91843754,"(0.6686909, 0.26380527)"
7,7,Two dogs are wrestling and hugging,A brown dog is attacking another animal in front of the tall man in pants,0.475,0.90989953,0.9089581,0.927232,0.9328486,"(0.6565397, 0.39460167)"
8,8,Two dogs are wrestling and hugging,A brown dog is helping another animal in front of the man in pants,0.3249999999999999,0.9144218,0.90733063,0.93959415,0.93453634,"(0.6237798, 0.37070465)"
9,9,A person in a black jacket is doing tricks on a motorbike,A man in a black jacket is doing tricks on a motorbike,0.975,0.9905678,0.9927065,0.9853527,0.97636503,"(0.97713405, 0.9168045)"
10,10,There is no man in a black jacket doing tricks on a motorbike,A person in a black jacket is doing tricks on a motorbike,0.65,0.9761361,0.9768762,0.960758,0.96624,"(0.9193017, 0.7262925)"
11,11,A person in a black jacket is doing tricks on a motorbike,A person on a black motorbike is doing tricks with a jacket,0.5,0.9865331,0.9836119,0.97995365,0.9673107,"(0.9885703, 0.9771067)"
12,12,A skilled person is riding a bicycle on one wheel,A person is riding the bicycle on one wheel,0.825,0.9808793,0.97860205,0.985772,0.97529376,"(0.97471386, 0.8939432)"
13,13,Nobody is riding the bicycle on one wheel,A person is riding the bicycle on one wheel,0.7749999999999999,0.95582265,0.97105664,0.9484024,0.944397,"(0.90107834, 0.62561774)"
14,14,A person is riding the bicycle on one wheel,There is no man in a black jacket doing tricks on a motorbike,0.55,0.8980174,0.9196383,0.91078943,0.8951899,"(0.6527652, 0.24684906)"
15,15,A person is riding the bicycle on one wheel,A person in a black jacket is doing tricks on a motorbike,0.575,0.9151382,0.9338647,0.9371775,0.9156893,"(0.6910174, 0.41098356)"
16,16,A man with a jersey is dunking the ball at a basketball game,There is no man dunking the ball at a basketball game,0.75,0.9598447,0.9647833,0.9520416,0.93173945,"(0.87636447, 0.71627486)"
17,17,The game of basketball consists of a ball being dunked by a man with a jersey,A man with a jersey is dunking the ball at a basketball game,0.8,0.95586437,0.9583355,0.92676234,0.94186133,"(0.9783542, 0.9174162)"
18,18,A man who is playing dunks the basketball into the net and a crowd is in background,The player is dunking the basketball into the net and a crowd is in background,0.925,0.97897065,0.9663176,0.95555556,0.95653355,"(0.9713202, 0.9126853)"
19,19,The player is missing the basket and a crowd is in background,The player is dunking the basketball into the net and a crowd is in background,0.725,0.9484558,0.9630854,0.96589684,0.9658539,"(0.79068756, 0.6126385)"
20,20,A man with a jersey is dunking the ball at a basketball game,The player is missing the basket and a crowd is in background,0.625,0.90028715,0.8988936,0.9065919,0.8348165,"(0.72335786, 0.4000293)"
21,21,The player is dunking the basketball into the net and a crowd is in background,The ball is being dunked by a man with a jersey at a basketball game,0.75,0.93410146,0.91704214,0.9297668,0.9181397,"(0.8749127, 0.7281387)"
22,22,There is no man dunking the ball at a basketball game,The player is dunking the basketball into the net and a crowd is in background,0.625,0.9271532,0.9228802,0.92767966,0.91149414,"(0.8489289, 0.5767408)"
23,23,The game of basketball consists of a ball being dunked by a man with a jersey,The player is dunking the basketball into the net and a crowd is in background,0.65,0.91815186,0.9145624,0.90683067,0.8795099,"(0.8929739, 0.7074027)"
24,24,Two people are kickboxing and spectators are watching,Two people are fighting and spectators are watching,0.8500000000000001,0.9754033,0.96621764,0.9896424,0.98598593,"(0.8150167, 0.7312868)"
25,25,Two spectators are kickboxing and some people are watching,Two people are kickboxing and spectators are watching,0.75,0.9867108,0.9893478,0.99180365,0.98566914,"(0.99200416, 0.97597367)"
26,26,Two people are kickboxing and spectators are watching,Two young women are sparring in a kickboxing fight,0.725,0.93816257,0.93157333,0.9144249,0.93927646,"(0.8126167, 0.5187238)"
27,27,Two women are sparring in a kickboxing match,Two people are fighting and spectators are watching,0.675,0.9033071,0.9017028,0.91676927,0.9299032,"(0.71752673, 0.48446652)"
28,28,Two spectators are kickboxing and some people are watching,Two women are sparring in a kickboxing match,0.65,0.91946346,0.91188943,0.89601284,0.91333365,"(0.82763815, 0.57655823)"
29,29,Two people are kickboxing and spectators are watching,Two women are sparring in a kickboxing match,0.725,0.9295379,0.91518307,0.90663755,0.9273178,"(0.82951564, 0.5810478)"
30,30,Kids in red shirts are playing in the leaves,Children in red shirts are playing in the leaves,0.975,0.9920515,0.99168885,0.994539,0.9853037,"(0.9948015, 0.984627)"
31,31,Children in red shirts are playing in the leaves,Children in red shirts are sleeping in the leaves,0.75,0.9728825,0.9578937,0.9859605,0.9739296,"(0.9171262, 0.73515844)"
32,32,Children in red shirts are playing in the leaves,Children covered by leaves are playing with red shirts,0.725,0.9432697,0.9511238,0.9690881,0.95384914,"(0.98825, 0.966328)"
33,33,Three boys are jumping in the leaves,Children in red shirts are playing in the leaves,0.7749999999999999,0.9428651,0.935098,0.9652877,0.9387964,"(0.6869185, 0.44594428)"
34,34,Kids in red shirts are playing in the leaves,Three kids are jumping in the leaves,0.725,0.95748705,0.926766,0.96909666,0.9368433,"(0.7410322, 0.58004415)"
35,35,Children in red shirts are sleeping in the leaves,Three kids are jumping in the leaves,0.525,0.93319273,0.8851794,0.9560904,0.9023466,"(0.7188443, 0.4566583)"
36,36,Children covered by leaves are playing with red shirts,Three kids are jumping in the leaves,0.725,0.90057737,0.90013057,0.9295105,0.9217919,"(0.68974644, 0.51068044)"
37,37,Two children are lying in the snow and are drawing angels,Two children are lying in the snow and are making snow angels,0.8500000000000001,0.9807345,0.98075724,0.981655,0.98184943,"(0.9506686, 0.92171943)"
38,38,Two children are lying in the snow and are making snow angels,There is no child lying in the snow and making snow angels,0.7,0.9553147,0.96472144,0.9462735,0.9480746,"(0.92393017, 0.7201388)"
39,39,Two people wearing snowsuits are on the ground making snow angels,Two people in snowsuits are lying in the snow and making snow angels,0.95,0.9818129,0.97918993,0.9859322,0.9854786,"(0.95269096, 0.85752857)"
